D,L,P,G,Xchf,DHin,CHF,Tin
0.004,0.396,100.0,77.5,0.84,317.0,442.0,23.94
0.004,0.396,100.0,142.7,0.79,317.0,757.0,23.94
0.004,0.396,100.0,203.9,0.7,317.0,978.0,23.94
0.004,0.396,100.0,271.8,0.73,317.0,1325.0,23.94
0.004,0.396,100.0,421.3,0.62,317.0,1798.0,23.94
0.004,0.396,100.0,543.6,0.58,317.0,2239.0,23.94
0.004,0.396,100.0,679.5,0.55,317.0,2712.0,23.94
0.004,0.396,100.0,978.5,0.5,317.0,3564.0,23.94
0.004,0.396,100.0,1372.7,0.45,317.0,4573.0,23.94
0.004,0.396,100.0,1644.5,0.42,317.0,5236.0,23.94
0.004,0.594,100.0,77.5,0.88,324.0,300.0,22.27
0.004,0.594,100.0,135.9,0.81,324.0,505.0,22.27
0.004,0.594,100.0,203.9,0.75,324.0,694.0,22.27
0.004,0.594,100.0,258.2,0.71,331.0,852.0,20.6
0.004,0.594,100.0,407.7,0.63,331.0,1199.0,20.6
0.004,0.594,100.0,543.6,0.6,331.0,1514.0,20.6
0.004,0.594,100.0,693.1,0.58,331.0,1892.0,20.6
0.004,0.594,100.0,992.1,0.56,331.0,2618.0,20.6
0.004,0.792,100.0,78.8,0.74,331.0,196.0,20.6
0.004,0.792,100.0,135.9,0.76,331.0,347.0,20.6
0.004,0.792,100.0,217.5,0.72,331.0,536.0,20.6
0.004,0.792,100.0,244.6,0.75,331.0,631.0,20.6
0.004,0.792,100.0,407.7,0.64,329.0,915.0,21.08
0.004,0.792,100.0,543.6,0.6,329.0,1135.0,21.08
0.004,0.792,100.0,706.7,0.58,329.0,1451.0,21.08
0.004,0.792,100.0,720.3,0.59,324.0,1482.0,22.27
0.004,0.792,100.0,203.9,0.75,324.0,505.0,22.27
0.004,0.991,100.0,78.8,0.95,329.0,196.0,21.08
0.004,0.991,100.0,135.9,0.89,329.0,315.0,21.08
0.004,0.991,100.0,203.9,0.8,329.0,442.0,21.08
0.004,0.991,100.0,271.8,0.81,329.0,568.0,21.08
0.004,0.991,100.0,421.3,0.72,329.0,820.0,21.08
0.004,0.991,100.0,421.3,0.74,329.0,820.0,21.08
0.004,0.991,100.0,421.3,0.7,329.0,789.0,21.08
0.004,0.991,100.0,421.3,0.79,329.0,883.0,21.08
0.0048,0.478,100.0,69.3,0.99,319.0,442.0,23.47
0.0048,0.478,100.0,135.9,0.83,319.0,757.0,23.47
0.0048,0.478,100.0,203.9,0.74,319.0,1041.0,23.47
0.0048,0.478,100.0,285.4,0.69,319.0,1325.0,23.47
0.0048,0.478,100.0,407.7,0.58,319.0,1672.0,23.47
0.0048,0.478,100.0,543.6,0.55,319.0,2145.0,23.47
0.0048,0.478,100.0,665.9,0.54,319.0,2586.0,23.47
0.0048,0.478,100.0,706.7,0.53,319.0,2649.0,23.47
0.0048,0.478,100.0,937.8,0.48,319.0,3280.0,23.47
0.0048,0.478,100.0,1386.3,0.43,319.0,4510.0,23.47
0.0048,0.716,100.0,135.9,0.89,326.0,536.0,21.79
0.0048,0.716,100.0,203.9,0.77,317.0,694.0,23.94
0.0048,0.716,100.0,271.8,0.71,317.0,883.0,23.94
0.0048,0.716,100.0,407.7,0.63,317.0,1167.0,23.94
0.0048,0.716,100.0,557.2,0.6,317.0,1545.0,23.94
0.0048,0.716,100.0,665.9,0.59,317.0,1829.0,23.94
0.0048,0.716,100.0,951.4,0.55,317.0,2492.0,23.94
0.0048,0.716,100.0,937.8,0.55,317.0,2429.0,23.94
0.0048,0.716,100.0,1413.4,0.53,317.0,3532.0,23.94
0.0048,0.955,100.0,203.9,0.93,317.0,631.0,23.94
0.0048,0.955,100.0,271.8,0.75,317.0,694.0,23.94
0.0048,0.955,100.0,407.7,0.68,317.0,946.0,23.94
0.0048,0.955,100.0,543.6,0.63,317.0,1199.0,23.94
0.0048,0.955,100.0,679.5,0.64,317.0,1482.0,23.94
0.0048,0.955,100.0,951.4,0.55,317.0,1861.0,23.94
0.0048,0.955,100.0,1100.9,0.49,317.0,1987.0,23.94
0.00384,0.799,7840.0,3862.0,0.268,174.0,2620.0,260.22
0.00384,0.799,7840.0,3934.0,0.165,402.0,3061.0,211.74
0.00384,0.799,7840.0,3934.0,0.214,271.0,2791.0,240.12
0.00384,0.799,7840.0,3982.0,0.288,68.0,2339.0,281.04
0.00384,0.799,7840.0,4054.0,0.172,319.0,2840.0,229.87
0.00384,0.799,7840.0,4990.0,0.156,290.0,3130.0,236.08
0.00384,0.799,7840.0,4990.0,0.181,243.0,3061.0,246.01
0.00384,0.799,7840.0,4990.0,0.227,155.0,2930.0,264.05
0.00384,0.799,7840.0,5013.0,0.085,564.0,4140.0,175.2
0.00384,0.799,7840.0,5013.0,0.089,533.0,4000.0,182.29
0.00384,0.799,7840.0,5013.0,0.105,479.0,3830.0,194.54
0.00384,0.799,7840.0,5013.0,0.128,388.0,3461.0,214.83
0.00384,0.799,7840.0,5013.0,0.129,347.0,3261.0,223.8
0.00384,0.799,7840.0,5013.0,0.198,199.0,2970.0,255.13
0.00384,0.799,7840.0,5013.0,0.241,104.0,2740.0,274.13
0.00384,0.799,7840.0,5013.0,0.265,41.0,2610.0,286.11
0.00384,0.799,7840.0,7460.0,-0.006,634.0,5652.0,159.04
0.00384,0.799,7840.0,7460.0,0.028,586.0,5620.0,170.14
0.00384,0.799,7840.0,7460.0,0.034,542.0,5320.0,180.24
0.00384,0.799,7840.0,7460.0,0.041,497.0,5011.0,190.48
0.00384,0.799,7840.0,7460.0,0.043,457.0,4711.0,199.49
0.00384,0.799,7840.0,7460.0,0.05,416.0,4420.0,208.64
0.00384,0.799,7840.0,7460.0,0.055,384.0,4200.0,215.71
0.00384,0.799,7840.0,7460.0,0.067,328.0,3850.0,227.92
0.00384,0.799,7840.0,7460.0,0.077,286.0,3620.0,236.93
0.00384,0.799,7840.0,7460.0,0.099,243.0,3520.0,246.01
0.00384,0.799,7840.0,7460.0,0.13,194.0,3480.0,256.15
0.00384,0.799,7840.0,7460.0,0.168,150.0,3580.0,265.05
0.00384,0.799,7840.0,7460.0,0.194,99.0,3450.0,275.1
0.00384,0.799,7840.0,7460.0,0.217,41.0,3270.0,286.11
0.00384,0.799,7840.0,7460.0,0.129,194.0,3500.0,256.15
0.00384,0.799,7840.0,7460.0,0.167,145.0,3520.0,266.05
0.00384,0.799,7840.0,7460.0,0.189,99.0,3390.0,275.1
0.00384,0.799,7840.0,7460.0,0.21,47.0,3220.0,285.0
0.00384,1.549,7840.0,3958.0,0.317,233.0,1700.0,248.1
0.00384,1.549,7840.0,3958.0,0.32,174.0,1580.0,260.22
0.00384,1.549,7840.0,3958.0,0.336,99.0,1439.0,275.1
0.00384,1.549,7840.0,3982.0,0.339,31.0,1339.0,287.96
