
TimeEdit,Université libre de Bruxelles
M-IRPHP:1,17/09/2023 - 31/12/2023,
Date de début,Heure de début,Date de fin,Heure de fin,Cours,Info,Type de réservation,Salle,Niveau 
18/09/2023,10:00,18/09/2023,12:00,PHYSH401,,Théorie,S.UA4.222,M-IRPHP:1
18/09/2023,14:00,18/09/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
18/09/2023,16:00,18/09/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
19/09/2023,08:00,19/09/2023,10:00,"MATHH401, MATHH507",,Théorie,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
19/09/2023,10:00,19/09/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
20/09/2023,08:00,20/09/2023,10:00,PHYSH401,,Théorie,S.UA4.222,M-IRPHP:1
20/09/2023,10:00,20/09/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
21/09/2023,08:00,21/09/2023,10:00,PHYSH401,,Théorie,S.UB4.228,M-IRPHP:1
21/09/2023,10:00,21/09/2023,12:00,BIMEH407,,Théorie,S.UA4.222,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
21/09/2023,14:00,21/09/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
22/09/2023,08:00,22/09/2023,10:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
22/09/2023,10:00,22/09/2023,12:00,PHYSH401,,Théorie,S.UB4.228,M-IRPHP:1
25/09/2023,08:00,25/09/2023,10:00,BIMEH407,Local: S.L.3.219,Théorie,,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
25/09/2023,10:00,25/09/2023,12:00,PHYSH401,,Théorie,S.UA4.222,M-IRPHP:1
25/09/2023,14:00,25/09/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
25/09/2023,16:00,25/09/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
26/09/2023,08:00,26/09/2023,10:00,"MATHH401, MATHH507",,Théorie,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
26/09/2023,10:00,26/09/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
26/09/2023,14:00,26/09/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
26/09/2023,16:00,26/09/2023,18:00,PHYSH401,,Exercices,S.UA4.218,M-IRPHP:1
28/09/2023,08:00,28/09/2023,10:00,PHYSH401,,Théorie,S.UB2.147,M-IRPHP:1
28/09/2023,10:00,28/09/2023,12:00,BIMEH407,,Théorie,S.UA4.222,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
29/09/2023,08:00,29/09/2023,10:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
29/09/2023,10:00,29/09/2023,12:00,PHYSH401,,Théorie,S.UB2.129 (Salle Visio),M-IRPHP:1
29/09/2023,14:00,29/09/2023,18:00,MATHH401,,Travaux pratiques,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
02/10/2023,08:00,02/10/2023,10:00,BIMEH407,Local: S.L.3.219,Théorie,,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
02/10/2023,10:00,02/10/2023,12:00,PHYSH401,,Théorie,S.AY2.112,M-IRPHP:1
02/10/2023,14:00,02/10/2023,16:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
02/10/2023,16:00,02/10/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
03/10/2023,08:00,03/10/2023,10:00,"MATHH401, MATHH507",,Théorie,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
03/10/2023,10:00,03/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
03/10/2023,14:00,03/10/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
04/10/2023,08:00,04/10/2023,10:00,PHYSH401,,Exercices,S.UA4.218,M-IRPHP:1
04/10/2023,10:00,04/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
04/10/2023,13:00,04/10/2023,18:00,Infofac_H,Après-midi cuistax,Excursion,,"M-IRARE:1, M-IRARE:2, M-IRCBS:1, M-IRCBS:2, M-IRCNE:1, M-IRCNE:2, M-IRELE:1, M-IRELE:2, M-IREMI:1, M-IREMI:2, M-IREMR-A:1, M-IREMR-A:2, M-IREMR-E:1, M-IREMR-E:2, M-IREMR-M:1, M-IREMR-M:2, M-IREMR-S:1, M-IREMR-S:2, M-IREMR:1, M-IREMR:2, M-IRIFB:1, M-IRIFB:2, M-IRIFS:1, M-IRIFS:2, M-IRMAE-M:1, M-IRMAE-M:2, M-IRMAE-P:1, M-IRMAE-P:2, M-IRMAE:1, M-IRPHP:1, M-IRPHP:2"
05/10/2023,08:00,05/10/2023,10:00,PHYSH401,,Théorie,S.UB2.147,M-IRPHP:1
05/10/2023,10:00,05/10/2023,12:00,BIMEH407,,Théorie,S.UA4.222,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
06/10/2023,08:00,06/10/2023,10:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
06/10/2023,10:00,06/10/2023,12:00,PHYSH401,,Théorie,S.K.3.601,M-IRPHP:1
06/10/2023,14:00,06/10/2023,18:00,MATHH401,,Travaux pratiques,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
09/10/2023,08:00,09/10/2023,10:00,BIMEH407,Local: S.L.3.219,Théorie,,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
09/10/2023,10:00,09/10/2023,12:00,PHYSH401,,Théorie,S.UA4.222,M-IRPHP:1
09/10/2023,16:00,09/10/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
10/10/2023,08:00,10/10/2023,10:00,"MATHH401, MATHH507",,Théorie,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
10/10/2023,10:00,10/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
10/10/2023,14:00,10/10/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
11/10/2023,08:00,11/10/2023,10:00,PHYSH401,,Exercices,S.UA4.218,M-IRPHP:1
11/10/2023,10:00,11/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
12/10/2023,08:00,12/10/2023,10:00,PHYSH401,,Théorie,S.UB4.228,M-IRPHP:1
12/10/2023,10:00,12/10/2023,12:00,BIMEH407,,Théorie,S.UA4.222,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
12/10/2023,14:00,12/10/2023,18:00,PROJH403,,Projet,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
13/10/2023,08:00,13/10/2023,12:00,PROJH403,,Projet,,M-IRPHP:1
