D,L,P,G,X,DH,CHF,T
0.004,0.396,100,77.5,0.84,317,442,23.94
0.004,0.396,100,142.7,0.79,317,757,23.94
0.004,0.396,100,203.9,0.7,317,978,23.94
0.004,0.396,100,271.8,0.73,317,1325,23.94
0.004,0.396,100,421.3,0.62,317,1798,23.94
0.004,0.396,100,543.6,0.58,317,2239,23.94
0.004,0.396,100,679.5,0.55,317,2712,23.94
0.004,0.396,100,978.5,0.5,317,3564,23.94
0.004,0.396,100,1372.7,0.45,317,4573,23.94
0.004,0.396,100,1644.5,0.42,317,5236,23.94
0.004,0.594,100,77.5,0.88,324,300,22.27
0.004,0.594,100,135.9,0.81,324,505,22.27
0.004,0.594,100,203.9,0.75,324,694,22.27
0.004,0.594,100,258.2,0.71,331,852,20.6
0.004,0.594,100,407.7,0.63,331,1199,20.6
0.004,0.594,100,543.6,0.6,331,1514,20.6
0.004,0.594,100,693.1,0.58,331,1892,20.6
0.004,0.594,100,992.1,0.56,331,2618,20.6
0.004,0.792,100,78.8,0.74,331,196,20.6
0.004,0.792,100,135.9,0.76,331,347,20.6
0.004,0.792,100,217.5,0.72,331,536,20.6
0.004,0.792,100,244.6,0.75,331,631,20.6
0.004,0.792,100,407.7,0.64,329,915,21.08
0.004,0.792,100,543.6,0.6,329,1135,21.08
0.004,0.792,100,706.7,0.58,329,1451,21.08
0.004,0.792,100,720.3,0.59,324,1482,22.27
0.004,0.792,100,203.9,0.75,324,505,22.27
0.004,0.991,100,78.8,0.95,329,196,21.08
0.004,0.991,100,135.9,0.89,329,315,21.08
0.004,0.991,100,203.9,0.8,329,442,21.08
0.004,0.991,100,271.8,0.81,329,568,21.08
0.004,0.991,100,421.3,0.72,329,820,21.08
0.004,0.991,100,421.3,0.74,329,820,21.08
0.004,0.991,100,421.3,0.7,329,789,21.08
0.004,0.991,100,421.3,0.79,329,883,21.08
0.0048,0.478,100,69.3,0.99,319,442,23.47
0.0048,0.478,100,135.9,0.83,319,757,23.47
0.0048,0.478,100,203.9,0.74,319,1041,23.47
0.0048,0.478,100,285.4,0.69,319,1325,23.47
0.0048,0.478,100,407.7,0.58,319,1672,23.47
0.0048,0.478,100,543.6,0.55,319,2145,23.47
0.0048,0.478,100,665.9,0.54,319,2586,23.47
0.0048,0.478,100,706.7,0.53,319,2649,23.47
0.0048,0.478,100,937.8,0.48,319,3280,23.47
0.0048,0.478,100,1386.3,0.43,319,4510,23.47
0.0048,0.716,100,135.9,0.89,326,536,21.79
0.0048,0.716,100,203.9,0.77,317,694,23.94
0.0048,0.716,100,271.8,0.71,317,883,23.94
0.0048,0.716,100,407.7,0.63,317,1167,23.94
0.0048,0.716,100,557.2,0.6,317,1545,23.94
0.0048,0.716,100,665.9,0.59,317,1829,23.94
0.0048,0.716,100,951.4,0.55,317,2492,23.94
0.0048,0.716,100,937.8,0.55,317,2429,23.94
0.0048,0.716,100,1413.4,0.53,317,3532,23.94
0.0048,0.955,100,203.9,0.93,317,631,23.94
0.0048,0.955,100,271.8,0.75,317,694,23.94
0.0048,0.955,100,407.7,0.68,317,946,23.94
0.0048,0.955,100,543.6,0.63,317,1199,23.94
0.0048,0.955,100,679.5,0.64,317,1482,23.94
0.0048,0.955,100,951.4,0.55,317,1861,23.94
0.0048,0.955,100,1100.9,0.49,317,1987,23.94
0.00384,0.799,7840,3862,0.268,174,2620,260.22
0.00384,0.799,7840,3934,0.165,402,3061,211.74
0.00384,0.799,7840,3934,0.214,271,2791,240.12
0.00384,0.799,7840,3982,0.288,68,2339,281.04
0.00384,0.799,7840,4054,0.172,319,2840,229.87
0.00384,0.799,7840,4990,0.156,290,3130,236.08
0.00384,0.799,7840,4990,0.181,243,3061,246.01
0.00384,0.799,7840,4990,0.227,155,2930,264.05
0.00384,0.799,7840,5013,0.085,564,4140,175.2
0.00384,0.799,7840,5013,0.089,533,4000,182.29
0.00384,0.799,7840,5013,0.105,479,3830,194.54
0.00384,0.799,7840,5013,0.128,388,3461,214.83
0.00384,0.799,7840,5013,0.129,347,3261,223.8
0.00384,0.799,7840,5013,0.198,199,2970,255.13
0.00384,0.799,7840,5013,0.241,104,2740,274.13
0.00384,0.799,7840,5013,0.265,41,2610,286.11
0.00384,0.799,7840,7460,-0.006,634,5652,159.04
0.00384,0.799,7840,7460,0.028,586,5620,170.14
0.00384,0.799,7840,7460,0.034,542,5320,180.24
0.00384,0.799,7840,7460,0.041,497,5011,190.48
0.00384,0.799,7840,7460,0.043,457,4711,199.49
0.00384,0.799,7840,7460,0.05,416,4420,208.64
0.00384,0.799,7840,7460,0.055,384,4200,215.71
0.00384,0.799,7840,7460,0.067,328,3850,227.92
0.00384,0.799,7840,7460,0.077,286,3620,236.93
0.00384,0.799,7840,7460,0.099,243,3520,246.01
0.00384,0.799,7840,7460,0.13,194,3480,256.15
0.00384,0.799,7840,7460,0.168,150,3580,265.05
0.00384,0.799,7840,7460,0.194,99,3450,275.1
0.00384,0.799,7840,7460,0.217,41,3270,286.11
0.00384,0.799,7840,7460,0.129,194,3500,256.15
0.00384,0.799,7840,7460,0.167,145,3520,266.05
0.00384,0.799,7840,7460,0.189,99,3390,275.1
0.00384,0.799,7840,7460,0.21,47,3220,285
0.00384,1.549,7840,3958,0.317,233,1700,248.1
0.00384,1.549,7840,3958,0.32,174,1580,260.22
0.00384,1.549,7840,3958,0.336,99,1439,275.1
