,D,L,P,G,X,DH,CHF,T
0,0.004,0.396,100000.0,77.5,0.84,317000.0,442000.0,297.09
1,0.004,0.396,100000.0,142.7,0.79,317000.0,757000.0,297.09
2,0.004,0.396,100000.0,203.9,0.7,317000.0,978000.0,297.09
3,0.004,0.396,100000.0,271.8,0.73,317000.0,1325000.0,297.09
4,0.004,0.396,100000.0,421.3,0.62,317000.0,1798000.0,297.09
5,0.004,0.396,100000.0,543.6,0.58,317000.0,2239000.0,297.09
6,0.004,0.396,100000.0,679.5,0.55,317000.0,2712000.0,297.09
7,0.004,0.396,100000.0,978.5,0.5,317000.0,3564000.0,297.09
8,0.004,0.396,100000.0,1372.7,0.45,317000.0,4573000.0,297.09
9,0.004,0.396,100000.0,1644.5,0.42,317000.0,5236000.0,297.09
10,0.004,0.594,100000.0,77.5,0.88,324000.0,300000.0,295.41999999999996
11,0.004,0.594,100000.0,135.9,0.81,324000.0,505000.0,295.41999999999996
12,0.004,0.594,100000.0,203.9,0.75,324000.0,694000.0,295.41999999999996
13,0.004,0.594,100000.0,258.2,0.71,331000.0,852000.0,293.75
14,0.004,0.594,100000.0,407.7,0.63,331000.0,1199000.0,293.75
15,0.004,0.594,100000.0,543.6,0.6,331000.0,1514000.0,293.75
16,0.004,0.594,100000.0,693.1,0.58,331000.0,1892000.0,293.75
17,0.004,0.594,100000.0,992.1,0.56,331000.0,2618000.0,293.75
18,0.004,0.792,100000.0,78.8,0.74,331000.0,196000.0,293.75
19,0.004,0.792,100000.0,135.9,0.76,331000.0,347000.0,293.75
20,0.004,0.792,100000.0,217.5,0.72,331000.0,536000.0,293.75
21,0.004,0.792,100000.0,244.6,0.75,331000.0,631000.0,293.75
22,0.004,0.792,100000.0,407.7,0.64,329000.0,915000.0,294.22999999999996
23,0.004,0.792,100000.0,543.6,0.6,329000.0,1135000.0,294.22999999999996
24,0.004,0.792,100000.0,706.7,0.58,329000.0,1451000.0,294.22999999999996
25,0.004,0.792,100000.0,720.3,0.59,324000.0,1482000.0,295.41999999999996
26,0.004,0.792,100000.0,203.9,0.75,324000.0,505000.0,295.41999999999996
27,0.004,0.991,100000.0,78.8,0.95,329000.0,196000.0,294.22999999999996
28,0.004,0.991,100000.0,135.9,0.89,329000.0,315000.0,294.22999999999996
29,0.004,0.991,100000.0,203.9,0.8,329000.0,442000.0,294.22999999999996
30,0.004,0.991,100000.0,271.8,0.81,329000.0,568000.0,294.22999999999996
31,0.004,0.991,100000.0,421.3,0.72,329000.0,820000.0,294.22999999999996
32,0.004,0.991,100000.0,421.3,0.74,329000.0,820000.0,294.22999999999996
33,0.004,0.991,100000.0,421.3,0.7,329000.0,789000.0,294.22999999999996
34,0.004,0.991,100000.0,421.3,0.79,329000.0,883000.0,294.22999999999996
