,D,L,P,G,X,DH,CHF,T
2864,0.0131,2.25,1814000.0,523.0,0.642,721000.0,1475000.0,312.21
4336,0.01,2.0,19610000.0,581.0,-0.03,1067000.0,760000.0,445.53
23478,0.00811,4.0,17990000.0,1002.1,0.382,615000.0,463000.0,529.53
11692,0.00805,0.5,15690000.0,1507.0,0.035,287000.0,2000000.0,575.47
2566,0.0129,0.96,1353000.0,413.0,0.656,469000.0,2439000.0,357.39
19493,0.00801,1.0,6860000.0,500.0,0.67,995000.0,2010000.0,335.19
13337,0.01,1.0,14000000.0,1866.0,-0.128,945000.0,3778000.0,419.71
22446,0.008,1.8,998000.0,997.0,0.536,292000.0,1481000.0,385.05999999999995
5644,0.00785,1.0,7100000.0,427.5,0.768,1011000.0,1814000.0,334.27
10593,0.0082,5.37,13720000.0,1505.0,0.343,837000.0,690000.0,442.38
18663,0.008,1.57,17700000.0,501.0,0.281,1266000.0,946000.0,378.12
12101,0.00581,1.0,17650000.0,3353.0,0.091,372000.0,2223000.0,574.8199999999999
16019,0.015,5.296,2080000.0,1345.0,0.45,344039.0,1134000.0,409.25
10688,0.0108,2.0,13720000.0,1001.0,0.134,1140000.0,1721000.0,370.89
13433,0.01,2.0,5000000.0,2141.0,0.333,561000.0,2965000.0,413.49
11370,0.0108,1.0,14710000.0,2008.0,0.011,367000.0,2071000.0,552.9
3625,0.01001,3.0,11760000.0,562.0,0.656,551000.0,625000.0,489.7
5833,0.00558,0.864,7100000.0,4103.0,0.1,363000.0,3400000.0,485.42999999999995
7993,0.00585,4.0,5880000.0,4972.0,0.271,791000.0,2210000.0,371.39
1035,0.00394,1.04,1265000.0,1127.0,0.568,550000.0,1784000.0,334.77
4522,0.0151,4.017,4992000.0,3890.0,0.242,177019.0,2028000.0,503.28
1238,0.00776,2.08,1628000.0,362.0,0.897,417000.0,725000.0,379.05999999999995
9127,0.00782,0.25,9800000.0,3008.0,-0.224,634000.0,7767000.0,452.65
9821,0.0082,6.0,11760000.0,989.0,0.493,1349000.0,652000.0,302.26
4190,0.01,2.0,17650000.0,1051.0,-0.005,1132000.0,1479000.0,409.51
24537,0.008,0.4,1012000.0,1203.0,0.083,604000.0,4637600.0,311.33
16450,0.00384,0.8,7850000.0,5015.0,0.2,200000.0,2958000.0,528.17
12011,0.01075,6.0,15690000.0,2014.0,0.285,401000.0,609000.0,553.8599999999999
15176,0.00921,3.66,6870000.0,2833.3,0.348,289000.0,1435000.0,499.03
12690,0.01075,4.0,17650000.0,2749.0,0.2,477000.0,1186000.0,554.73
18776,0.008,5.03,17700000.0,1598.0,0.24,1087000.0,806000.0,420.62
82,0.00384,0.799,7840000.0,7460.0,0.05,416000.0,4420000.0,481.78999999999996
10257,0.00578,3.0,13720000.0,5029.0,0.175,527000.0,1737000.0,511.87
746,0.0152,2.456,4992000.0,1160.0,0.594,-385438.0,1073000.0,536.99
7071,0.0141,0.991,11029000.0,542.4,0.458,276000.0,1624600.0,541.55
5627,0.00785,1.0,5100000.0,789.2,0.674,899000.0,3098000.0,334.69
12005,0.01075,6.0,15690000.0,1528.0,0.322,401000.0,487000.0,553.8599999999999
17165,0.008,1.57,9800000.0,2223.0,0.32,79000.0,1424000.0,569.03
13541,0.01,2.0,10000000.0,870.0,0.455,943000.0,1677000.0,382.30999999999995
22516,0.008,3.5,1981000.0,1004.0,0.628,379000.0,887000.0,398.39
17804,0.008,1.57,12750000.0,2195.0,0.182,177000.0,1098000.0,573.9
8915,0.00578,2.0,9800000.0,1493.0,0.406,643000.0,1267000.0,450.59
23519,0.00811,5.0,2980000.0,1500.3,0.55,445000.0,873000.0,406.28999999999996
7064,0.0141,0.991,8616000.0,2703.9,0.106,88000.0,2283900.0,557.44
5715,0.0128,1.93,5270000.0,2698.0,0.254,179000.0,2645000.0,503.5
12933,0.00585,5.0,19610000.0,1499.0,0.353,762000.0,429000.0,514.1899999999999
21205,0.00795,3.0,13730000.0,4026.0,0.151,499000.0,1806000.0,517.93
8427,0.0108,1.0,6860000.0,1007.0,0.27,751000.0,3102000.0,393.35999999999996
13213,0.00574,0.625,13790000.0,1315.3,-0.112,1249000.0,3407000.0,345.40999999999997
8938,0.00578,2.0,9800000.0,2647.0,0.337,165000.0,1172000.0,553.01
21565,0.00803,6.0,9810000.0,999.0,0.576,643000.0,470000.0,450.67999999999995
12470,0.00803,4.0,17650000.0,3363.0,0.331,255000.0,907000.0,595.29
17367,0.008,2.44,9800000.0,3983.0,0.208,154000.0,1410000.0,555.12
11448,0.01075,6.0,14710000.0,2783.0,0.287,137000.0,547000.0,594.31
2970,0.0131,1.75,2275000.0,1060.0,0.426,720000.0,2992000.0,324.96999999999997
16096,0.008,3.49,2940000.0,1005.0,0.71,199000.0,830000.0,462.21999999999997
20546,0.00781,3.0,6670000.0,1047.0,0.761,968000.0,1447000.0,339.29999999999995
6138,0.00953,1.727,6964000.0,3932.4,0.222,77000.0,2191500.0,543.94
23335,0.00811,4.0,5010000.0,1252.7,0.686,50000.0,746000.0,527.15
13866,0.01,2.0,7000000.0,3257.0,0.28,49000.0,1918000.0,549.73
11791,0.00803,4.0,15690000.0,1509.0,0.349,292000.0,479000.0,574.56
15548,0.0077,1.555,13730000.0,1516.7,0.172,468000.0,1233000.0,524.48
9325,0.01075,5.0,9800000.0,2014.0,0.344,368000.0,890000.0,511.67999999999995
1236,0.00776,2.08,1559000.0,357.0,0.933,431000.0,745000.0,373.52
10174,0.00581,1.0,13720000.0,5030.0,0.159,104000.0,2075000.0,593.04
19167,0.008,0.393,1960000.0,4830.0,-0.163,753000.0,10871000.0,308.74
2799,0.0131,2.5,1422000.0,622.0,0.584,661000.0,1464000.0,313.97999999999996
5389,0.00998,3.5,7944000.0,2263.0,0.267,827000.0,1957000.0,388.02
4648,0.0151,3.179,6463000.0,1530.0,0.364,237980.0,1447000.0,506.2
17798,0.008,1.57,12750000.0,2201.0,0.117,484000.0,1740000.0,512.89
13645,0.01,2.0,12000000.0,3354.0,0.068,516000.0,2502000.0,499.51
13560,0.01,2.0,10000000.0,599.0,0.644,644000.0,1117000.0,452.31999999999994
2055,0.01,2.0,2393000.0,363.0,0.82,658000.0,989000.0,342.71
11292,0.0082,5.37,14710000.0,1500.0,0.44,19000.0,260000.0,611.39
810,0.0152,2.456,5001000.0,3720.0,0.376,-455771.0,893000.0,537.1099999999999
15840,0.0104,3.8,19620000.0,1675.0,0.09,906000.0,1110000.0,482.5
3898,0.01001,3.0,13720000.0,668.0,0.588,131000.0,427000.0,588.66
1250,0.00776,2.08,706000.0,554.0,0.615,171000.0,744000.0,398.64
10412,0.00798,1.65,13720000.0,1939.0,0.265,170000.0,1093000.0,582.0799999999999
19680,0.008,1.0,6860000.0,1995.0,0.18,554000.0,3250000.0,439.46
3597,0.01,2.0,11760000.0,3081.0,0.08,491000.0,2257000.0,502.84
2294,0.01,1.25,3070000.0,472.0,0.792,708000.0,2015000.0,345.75
15244,0.0126,5.56,6870000.0,677.8,0.842,307000.0,619000.0,495.13
5986,0.01146,1.359,7140000.0,1755.0,0.33,131000.0,2310000.0,535.02
18717,0.008,3.49,17660000.0,999.0,0.359,726000.0,567000.0,502.66999999999996
11428,0.01075,6.0,14710000.0,992.0,0.431,254000.0,311000.0,574.29
5187,0.00998,1.5,8924000.0,1815.0,0.138,793000.0,2972000.0,406.71999999999997
12982,0.00585,6.0,19610000.0,4972.0,0.222,1047000.0,1424000.0,450.16999999999996
6395,0.0128,1.93,6895000.0,1898.4,0.205,491000.0,2504800.0,454.33
11531,0.00581,1.0,15690000.0,4998.0,0.109,287000.0,2907000.0,575.47
8139,0.0108,2.0,5880000.0,1001.0,0.624,267000.0,1686000.0,492.17999999999995
1202,0.00776,2.08,941000.0,761.0,0.58,214000.0,984000.0,400.82
11932,0.0108,3.0,15690000.0,1511.0,0.259,292000.0,745000.0,574.56
3880,0.01001,3.0,13720000.0,908.0,0.364,553000.0,717000.0,506.26
12734,0.0151,6.0,17650000.0,519.0,0.522,954000.0,457000.0,451.15
7770,0.00932,3.048,18029800.0,1036.2,0.372,302147.0,465621.0,590.21
13804,0.01,2.0,18000000.0,776.0,0.117,1128000.0,1183000.0,413.93999999999994
272,0.0074,3.8,9800000.0,5943.0,0.287,28000.0,1174000.0,577.97
5853,0.00558,1.727,7030000.0,931.0,0.95,33000.0,1100000.0,553.0899999999999
6187,0.01262,5.563,6723000.0,1342.4,0.568,156000.0,776300.0,525.52
22181,0.0134,3.658,15401000.0,2026.4,0.217,305000.0,958500.0,570.02
3716,0.01,1.0,13720000.0,315.0,0.57,1153000.0,1382000.0,367.78
3457,0.01,2.0,9800000.0,4800.0,0.046,407000.0,2800000.0,503.30999999999995
